Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Peak torque (Nm),Horsepower,Kerb weight,Make,Model,Variant,Lat,Lon
2018,2018 Kia Sorento SLI (4X2) UM MY19,108523,31987,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,10.0,White,KNAPH815MK5475660,Wanneroo Mitsubishi,"6 Lancaster Road, Wangara, WA",7,4,3490,6,71,24,336,277,1875,Kia,Sorento,SLI (4X2),-31.79716,115.81643
2013,2013 Toyota 86 GT ZN6,137255,22990,Manual,Coupe,Rear Wheel Drive,Premium Unleaded Petrol,7.8,White,JF1ZN6K81DG011713,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",4,2,1998,4,50,16,205,198,1220,Toyota,86,GT,-31.796743,115.815802
2013,2013 Mazda CX-9 Classic (fwd) MY13,156303,14990,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,11.0,Grey,JM0TB10A5D0408646,Buy Right Motors WA,"24 Automotive Drive, Wangara, WA",7,4,3726,6,76,24,366,274,1939,Mazda,CX-9,Classic (fwd),-31.794357,115.817341
2016,2016 Nissan Qashqai TI (4X2) J11,160507,18990,Manual,Suv,Front Wheel Drive,Unleaded Petrol,7.7,Black,SJNFBAJ11A1522375,BUCKINGHAM DRIVE AUTOS,"24 Buckingham Drive, Wangara, WA",5,4,1997,4,65,16,200,143,1457,Nissan,Qashqai,TI (4X2),-31.78741,115.81759
2022,2022 Mercedes-Benz C300 Mhev W206 MY22,14459,89990,Automatic,Sedan,Rear Wheel Drive,Other,7.3,Silver,W1K2060462F018272,Mercedes-Benz Perth used,"1093 Albany Highway, Bentley, WA",5,4,1999,4,66,16,400,255,1575,Mercedes-Benz,C300,Mhev,-31.999547,115.916029
2016,2016 Toyota RAV4 Cruiser (4X4) ASA44R MY16,183345,26990,Automatic,Suv,All Wheel Drive,Unleaded Petrol,8.5,Other,JTMDFREV20J079299,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,2494,4,60,16,233,178,1630,Toyota,RAV4,Cruiser (4X4),-31.79038,115.81869
2018,2018 Mitsubishi Triton GLS (4X4) Premium MR MY19,104572,38500,Automatic,Ute tray,Four Wheel Drive,Diesel,7.6,Grey,MMAJLKL10KH001630,Total Nissan used,"1251 Albany Highway, Cannington, WA",5,4,2440,4,75,16,430,179,1950,Mitsubishi,Triton,GLS (4X4) Premium,-32.011251,115.925422
2013,2013 Mitsubishi Triton GLX-R (4X4) MN MY12,223896,23990,Manual,Ute tray,Four Wheel Drive,Diesel,9.1,Grey,MMAJNKB40ED006038,Motor Mall WA,"41 Buckingham Drive, Wangara, WA",5,4,2477,4,75,16,400,176,1920,Mitsubishi,Triton,GLX-R (4X4),-31.78645,115.81995
2019,2019 Land Rover Range Rover Evoque D150 SE (110KW) L551 MY20,54342,54900,Automatic,Suv,All Wheel Drive,Diesel,5.7,White,SALVA2AN1KH342188,Porsche Centre Perth used,"101 Stirling Highway, Nedlands, WA",5,4,1999,4,65,16,380,148,1891,Land Rover,Range Rover Evoque,D150 SE (110KW),-31.97905425,115.80173020000001
2017,2017 Mitsubishi Outlander LS Safety Pack (4X4) 7 Seats ZK MY17,63000,33999,Automatic,Suv,All Wheel Drive,Diesel,5.8,Black,JMFXLGF6WJZ000244,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",7,4,2268,4,60,16,360,148,1630,Mitsubishi,Outlander,LS Safety Pack (4X4) 7 Seats,-31.79166,115.81549
2020,2020 Mitsubishi Outlander Black Edition 7 Seat (2WD) ZL MY20,4333,37999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.2,Grey,JMFXTGF8WLZ009267,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",7,4,2360,4,63,16,220,167,1410,Mitsubishi,Outlander,Black Edition 7 Seat (2WD),-31.79166,115.81549
2013,2013 Toyota 86 GT ZN6,22847,35990,Manual,Coupe,Rear Wheel Drive,Premium Unleaded Petrol,7.8,Black,JF1ZN6K81DG011482,Wangara MG Used,"20 Motor Parade, Wangara, WA",4,2,1998,4,50,16,205,198,1220,Toyota,86,GT,-31.794136,115.816569
