Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),Kerb weight,Make,Model,Variant,lat,lon
2009,2009 Holden Commodore SV6 VE MY09.5,164211,11990,Automatic,Wagon,Rear Wheel Drive,Unleaded Petrol,11.0,Blue,6G1EK85789L218408,BUCKINGHAM DRIVE AUTOS,"24 Buckingham Drive, Wangara, WA",5,4,3565,6,73,24,340 @ 2600 RPM,195 @ 6500 RPM,1684,Holden,Commodore,SV6,-31.78741,115.81759
2014,2014 Volkswagen Tiguan 132 TSI Pacific 5NC MY14.5,138504,17998,Other,Suv,All Wheel Drive,Premium Unleaded Petrol,8.8,Grey,WVGZZZ5NZFW020340,Gardner Commercials,"1308 Albany Highway, Cannington, WA",5,4,1984,4,64,16,280 @ 1700 RPM,132 @ 4300 RPM,1626,Volkswagen,Tiguan,132 TSI Pacific,-32.015497,115.931154
2005,2005 Ford Territory TS (rwd) SY,169319,8450,Other,Suv,Rear Wheel Drive,Unleaded Petrol,12.8,Silver,6FPAAAJGAT5E49456,Kings Auto Motors Pty Ltd,"1726 Albany Highway, Kenwick, WA",5,4,3984,6,75,24,383 @ 2500 RPM,190 @ 5250 RPM,2005,Ford,Territory,TS (rwd),-32.03925,115.97075
2011,2011 Mitsubishi Colt VR-X RG MY11,186680,8985,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol,5.6,Blue,JMFXTZ23ABZ000914,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,5,1499,4,45,16,141 @ 4000 RPM,77 @ 6000 RPM,1074,Mitsubishi,Colt,VR-X,47.4558162,-122.20913610939236
2023,2023 Nissan X-Trail TI-L (4WD) T33 MY23,4950,54990,Continuous Variable,Suv,4x4,Unleaded Petrol,7.8,White,JN1T33TE4A0001329,Total Nissan used,"1251 Albany Highway, Cannington, WA",5,4,2488,4,55,16,244 @ 3600 RPM,135 @ 6000 RPM,1672,Nissan,X-Trail,TI-L (4WD),-32.011251,115.925422
2013,2013 Hyundai IX35 Active (fwd) LM MY13,137337,15980,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,8.5,Grey,KMHJT81BMDU716443,Scarboro Toyota,"297 Scarborough Beach Road, Osborne Park, WA",5,4,1998,4,55,16,197 @ 4600 RPM,122 @ 6200 RPM,1485,Hyundai,IX35,Active (fwd),-31.91454,115.824791
2015,2015 Hyundai Sonata Active LF,170680,14990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,8.3,Grey,KMHE241FMFA081456,Perth Cars and Commercials,"707 Albany Highway, East Victoria Park, WA",5,4,2359,4,70,16,241 @ 4000 RPM,138 @ 6000 RPM,1587,Hyundai,Sonata,Active,-31.98209,115.90096
2021,2021 Mitsubishi ASX ES Plus (2WD) XD MY21,6919,30990,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.6,White,JMFXTGA2WMU015995,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,4,1999,4,63,16,197 @ 4200 RPM,110 @ 6000 RPM,1389,Mitsubishi,ASX,ES Plus (2WD),-31.79241,115.82027
2016,2016 Mazda 3 NEO BM MY15,40097,22990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,5.7,White,JM0BN527810134159,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,1998,4,51,16,200 @ 4000 RPM,114 @ 6000 RPM,1301,Mazda,3,NEO,-31.79038,115.81869
2015,2015 Ford Fiesta ST WZ,92201,17988,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,Other,WF0CXXGAKCFK48517,Regent,"4 Hocking Road, KINGSLEY, WA",5,3,1596,4,48,16,240 @ 1600 RPM,134 @ 6000 RPM,1172,Ford,Fiesta,ST,-31.80094,115.81669
2015,2015 Mitsubishi Triton GLX (4X4) MQ MY16,244194,20990,Automatic,Ute tray,4x4,Diesel,7.6,White,MMAJYKL10GH003441,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,4,2440,4,75,16,430 @ 2500 RPM,133 @ 3500 RPM,1930,Mitsubishi,Triton,GLX (4X4),-31.79241,115.82027
2020,2020 Hyundai Kona Active (fwd) Os.v4 MY21,47200,26999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,6.2,Silver,KMHK281AMLU672441,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,1999,4,50,16,180 @ 4500 RPM,110 @ 6200 RPM,1280,Hyundai,Kona,Active (fwd),-31.995227,115.938215
2014,2014 Nissan Juke ST (fwd) F15,65984,16998,Continuous Variable,Suv,Front Wheel Drive,Premium Unleaded Petrol,6.3,Silver,SJNFBAF15A6453890,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1598,4,46,16,158 @ 4000 RPM,86 @ 6000 RPM,1166,Nissan,Juke,ST (fwd),-32.0166894,115.9322155
2010,2010 Subaru Forester XS MY10,195520,12990,Other,Suv,All Wheel Drive,Unleaded Petrol,9.6,Grey,JF2SH9KL5AG052680,Platinum Automotive Sales,"198 Collier Rd, Bayswater, WA",5,4,2457,4,60,16,229 @ 4400 RPM,126 @ 6000 RPM,1480,Subaru,Forester,XS,-31.904689,115.917071
2017,2017 Volkswagen Polo 66 TSI Trendline 6R MY17,79037,19990,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,4.8,Silver,WVWZZZ6RZHU056692,Southside Volkswagen used,"1261 Albany Highway, Cannington, WA",5,5,1197,4,45,16,160 @ 1400 RPM,66 @ 4400 RPM,1082,Volkswagen,Polo,66 TSI Trendline,-32.012637,115.926416
2006,2006 Mitsubishi Grandis VR-X BA MY07,196129,10975,Other,Wagon,Front Wheel Drive,Unleaded Petrol,10.4,Grey,JMFLRNA4W7Z000542,Daley Motors WA,"217 Railway Avenue, Kelmscott, WA",7,4,2378,4,65,16,217 @ 4000 RPM,121 @ 6000 RPM,1660,Mitsubishi,Grandis,VR-X,-32.13237,116.0101
2016,2016 Mazda 2 Maxx DJ MY16,28200,19990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,4.9,Grey,MM0DJ2HAA0W226363,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,5,1496,4,44,16,141 @ 4000 RPM,81 @ 6000 RPM,1049,Mazda,2,Maxx,-31.79241,115.82027
2013,2013 Holden Commodore SV6 Z-Series VE II MY12.5,156459,16990,Manual,Sedan,Rear Wheel Drive,Unleaded Petrol,9.7,Blue,6G1EK5E33CL717121,Motor Mall WA,"41 Buckingham Drive, Wangara, WA",5,4,3565,6,73,24,350 @ 2900 RPM,210 @ 6400 RPM,1662,Holden,Commodore,SV6 Z-Series,-31.78645,115.81995
2019,2019 Toyota HiAce Commuter GL (12 Seats) GDH322R,90446,69990,Automatic,Other,Rear Wheel Drive,Diesel,9.5,White,JTFKB8CP906003736,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",12,3,2755,4,70,16,420 @ 1600 RPM,120 @ 3600 RPM,2665,Toyota,HiAce,Commuter GL (12 Seats),-31.796743,115.815802
2015,2015 Mazda 3 Maxx BM MY15,107367,19998,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,5.7,White,JM0BM527810180458,easyauto123 (Edgewater),"2 Joondalup Drive, Edgewater, WA",5,4,1998,4,51,16,200 @ 4000 RPM,114 @ 6000 RPM,1296,Mazda,3,Maxx,-31.7572029,115.7731046
2017,2017 Mitsubishi Triton GLX (4X4) MQ MY17,164056,26800,Automatic,Ute tray,4x4,Diesel,7.6,White,MMAJYKL10HH021801,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,2440,4,75,16,430 @ 2500 RPM,133 @ 3500 RPM,1930,Mitsubishi,Triton,GLX (4X4),-31.987188,115.935923
2019,2019 Subaru XV 2.0I-S MY19,53251,34999,Continuous Variable,Suv,All Wheel Drive,Unleaded Petrol,7.0,White,JF1GT7KL5KG065637,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,1995,4,60,16,196 @ 4000 RPM,115 @ 6000 RPM,1484,Subaru,XV,2.0I-S,-31.995227,115.938215
2008,2008 Jeep Compass Sport MK,219365,8990,Manual,Suv,4x4,Diesel,6.5,Blue,1J8F747Y07D308404,Kingmaster Auto,"14A Buckingham Drive, Wangara, WA",5,4,1968,4,51,16,310 @ 1750 RPM,103 @ 4000 RPM,1650,Jeep,Compass,Sport,-31.78771,115.81496
2008,2008 Holden Commodore SV6 VE,238632,12990,Automatic,Ute tray,Rear Wheel Drive,Unleaded Petrol,11.6,Black,6G1EK42768L141162,Kingmaster Auto,"14A Buckingham Drive, Wangara, WA",2,2,3564,6,73,24,340 @ 2600 RPM,195 @ 6500 RPM,1671,Holden,Commodore,SV6,-31.78771,115.81496
2018,2018 Toyota Camry Ascent Sport (hybrid) Axvh71R,134503,33490,Continuous Variable,Sedan,Front Wheel Drive,Unleaded Petrol/Electric,4.2,White,JTNB23HK203003714,Big Rock Toyota used,"445 Wanneroo Road, Balcatta, WA",5,4,2494,4,50,16,231 @ 4100 RPM,133 @ 5700 RPM,1580,Toyota,Camry,Ascent Sport (hybrid),-31.86697,115.82846
2012,2012 Ford Kuga Titanium TE,208643,11888,Automatic,Suv,All Wheel Drive,Premium Unleaded Petrol,10.3,Black,WF0RXXGCDRCB71630,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,2521,5,66,20,320 @ 1600 RPM,147 @ 6000 RPM,1682,Ford,Kuga,Titanium,-31.79038,115.81869
2010,2010 Ford Territory Ghia (4X4) SY Mkii,232989,7990,Other,Suv,All Wheel Drive,Unleaded Petrol,12.2,Black,6FPAAAJGATAR57879,A.T AUTOS & SALES,"1618 Albany Highway, Beckenham, WA",7,4,3984,6,75,24,383 @ 2500 RPM,190 @ 5250 RPM,2100,Ford,Territory,Ghia (4X4),-32.028289,115.955235
2006,2006 Jeep Cherokee Sport (4X4) KJ MY05 Upgrade,200518,8888,Automatic,Suv,4x4,Unleaded Petrol,13.0,Black,1J8GM48K36W159903,Wangara Motors,"25 Prindiville Drive, Wangara, WA",5,4,3701,6,77,12,307 @ 3700 RPM,150 @ 5200 RPM,1829,Jeep,Cherokee,Sport (4X4),-31.79038,115.81869
2016,2016 Hyundai I40 Active Tourer VF4 Series II,44512,20880,Automatic,Wagon,Front Wheel Drive,Unleaded Petrol,7.5,Silver,KMHLB81DMGU109329,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,1999,4,70,16,203 @ 4700 RPM,121 @ 6500 RPM,1545,Hyundai,I40,Active Tourer,-31.987188,115.935923
2020,2020 Mitsubishi ASX LS (2WD) XD MY20,53540,26999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.6,White,JMFXTGA2WMU004236,Southside Mitsubishi used,"1261 Albany Highway, Cannington, WA",5,4,1999,4,63,16,197 @ 4200 RPM,110 @ 6000 RPM,1380,Mitsubishi,ASX,LS (2WD),-32.012637,115.926416
2008,2008 Mercedes-Benz C200 Kompressor Avantgarde W204,99174,13999,Other,Sedan,Rear Wheel Drive,Premium Unleaded Petrol,8.2,Black,WDD2040412A207772,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,4,1796,4,66,16,250 @ 2800 RPM,135 @ 5500 RPM,1490,Mercedes-Benz,C200,Kompressor Avantgarde,-31.797369,115.818506
2012,2012 Mazda 3 NEO BL Series 2 MY13,122362,12488,Manual,Sedan,Front Wheel Drive,Unleaded Petrol,8.6,Silver,JM0BL10F200348766,CarPlace,"7 Sobek Pass, Bibra Lake, WA",5,4,1999,4,55,16,182 @ 4500 RPM,108 @ 6500 RPM,1290,Mazda,3,NEO,-32.094655,115.814641
2016,2016 Mazda 3 Maxx BN MY17,94674,19999,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,5.9,Blue,JM0BN547610102757,John Hughes Passenger,"196 Albany Highway, Victoria Park, WA",5,5,1998,4,51,16,200 @ 4000 RPM,114 @ 6000 RPM,1262,Mazda,3,Maxx,47.4558162,-122.20913610939236
2012,2012 Holden Barina Classic TK MY11,148797,8990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.6,Blue,KL3TA69E9CB170516,Perth Cars and Commercials,"707 Albany Highway, East Victoria Park, WA",5,4,1598,4,45,16,145 @ 3600 RPM,76 @ 5800 RPM,1150,Holden,Barina,Classic,-31.98209,115.90096
2019,2019 Mitsubishi ASX ES Adas ( 2WD) XC MY19,69694,26999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.6,Silver,JMFXTGA2WKU015825,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,1998,4,63,16,197 @ 4200 RPM,110 @ 6000 RPM,1375,Mitsubishi,ASX,ES Adas ( 2WD),-31.995227,115.938215
2010,2010 Hyundai I30 SLX 1.6 Crdi FD MY10,82243,14999,Automatic,Hatch,Front Wheel Drive,Diesel,6.0,White,KMHDC51TMAU229495,John Hughes Group - Auto Warehouse,"Albany Highway, Victoria Park, WA",5,5,1582,4,53,16,255 @ 1900 RPM,85 @ 4000 RPM,1399,Hyundai,I30,SLX 1.6 Crdi,47.431768,-122.227996
2011,2011 Toyota Hilux SR (4X4) KUN26R MY11 Upgrade,280710,19990,Manual,Ute tray,4x4,Diesel,8.5,White,MR0FZ22G401046514,Capital Automotive group,"8 Parkland Road, Osborne Park, WA",3,2,2982,4,76,16,343 @ 1400 RPM,126 @ 3600 RPM,1725,Toyota,Hilux,SR (4X4),-31.91667,115.817585
2010,2010 Honda Jazz GLI GE,109326,10999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.6,Silver,MRHGE6850AP020959,Auto Market WA,"4 Chokolich Street, Wangara, WA",5,5,1339,4,42,16,127 @ 4800 RPM,73 @ 6000 RPM,1110,Honda,Jazz,GLI,-31.79018,115.81566
2014,2014 Mazda 3 Maxx BM,90958,19998,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,5.7,Grey,JM0BM527810158187,easyauto123 (Edgewater),"2 Joondalup Drive, Edgewater, WA",5,4,1998,4,51,16,200 @ 4000 RPM,114 @ 6000 RPM,1296,Mazda,3,Maxx,-31.7572029,115.7731046
2019,2019 Holden Commodore RS-V (5YR) ZB,99084,28880,Automatic,Wagon,All Wheel Drive,Premium Unleaded Petrol,9.1,White,W0VZS8ED7J1175231,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,3649,6,61,24,381 @ 5200 RPM,235 @ 6800 RPM,1705,Holden,Commodore,RS-V (5YR),-31.987188,115.935923
2014,2014 Hyundai Accent Active RB2,84970,13988,Manual,Sedan,Front Wheel Drive,Unleaded Petrol,6.0,Silver,KMHCT41DLEU603964,Regent,"4 Hocking Road, KINGSLEY, WA",5,4,1591,4,43,16,156 @ 4200 RPM,91 @ 6300 RPM,1140,Hyundai,Accent,Active,-31.80094,115.81669
2007,2007 Toyota Camry Altise ACV40R 07 Upgrade,162855,11990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,9.9,Silver,6T153BK400X041382,Scarboro Toyota,"297 Scarborough Beach Road, Osborne Park, WA",5,4,2362,4,70,16,218 @ 4000 RPM,117 @ 5700 RPM,1480,Toyota,Camry,Altise,-31.91454,115.824791
2020,2020 Mitsubishi ASX ES (2WD) XD MY20,52877,25290,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.6,White,JMFXTGA2WLU008631,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,1999,4,63,16,197 @ 4200 RPM,110 @ 6000 RPM,1380,Mitsubishi,ASX,ES (2WD),-31.906315,115.932176
2006,2006 Toyota Prius Hybrid NHW20R MY06 Upgrade,193687,9975,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol/Electric,4.4,Silver,JTDKB22UX07588141,Daley Motors WA,"217 Railway Avenue, Kelmscott, WA",5,5,1497,4,45,16,115 @ 4000 RPM,57 @ 5000 RPM,1295,Toyota,Prius,Hybrid,-32.13237,116.0101
2014,2014 Mitsubishi Outlander LS (4X4) ZJ MY14.5,171836,16990,Automatic,Suv,All Wheel Drive,Diesel,5.8,Red,JMFXLGF6WEZ001723,Zai Motors,"1042 Albany Highway, Saint James, WA",7,4,2268,4,60,16,360 @ 1500 RPM,110 @ 3500 RPM,1568,Mitsubishi,Outlander,LS (4X4),-31.996515,115.914741
2009,2009 Honda Jazz GLI GE,74954,10999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.6,Silver,MRHGE68509P040430,Auto Market WA,"4 Chokolich Street, Wangara, WA",5,5,1339,4,42,16,127 @ 4800 RPM,73 @ 6000 RPM,1110,Honda,Jazz,GLI,-31.79018,115.81566
2013,2013 Volkswagen Golf 103 TSI Highline AU,106324,16885,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.2,White,WVWZZZAUZDW066156,easyauto123 (Edgewater),"2 Joondalup Drive, Edgewater, WA",5,5,1395,4,50,16,250 @ 1750 RPM,103 @ 4500 RPM,1265,Volkswagen,Golf,103 TSI Highline,-31.7572029,115.7731046
2020,2020 Ford Ranger XL 3.2 (4X4) PX Mkiii MY20.25,231038,29850,Automatic,Ute tray,4x4,Diesel,8.7,White,MPBUMEF50LX290741,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,4,3198,5,80,20,470 @ 1500 RPM,147 @ 3000 RPM,2012,Ford,Ranger,XL 3.2 (4X4),-31.987188,115.935923
2022,2022 Ford Ranger Sport 3.0 (4X4) PY MY22,20177,79788,Automatic,Ute tray,4x4,Diesel,8.4,Blue,MNACMFF70NW235711,CarPlace,"7 Sobek Pass, Bibra Lake, WA",5,4,2993,6,80,24,600 @ 1750 RPM,184 @ 3750 RPM,2346,Ford,Ranger,Sport 3.0 (4X4),-32.094655,115.814641
2022,2022 Suzuki Baleno GL Series II,24208,22998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,5.4,White,MBHEWB52S00846281,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1373,4,37,16,130 @ 4000 RPM,68 @ 6000 RPM,915,Suzuki,Baleno,GL,-32.0166894,115.9322155
2012,2012 Ford Focus Ambiente LW MK2,127073,9990,Manual,Sedan,Front Wheel Drive,Unleaded Petrol,6.2,Other,MPB2XXMXB2CS18434,Uppill Place Car Disposal Centre,"77 Buckingham Drive, Wangara, WA",5,4,1596,4,55,16,159 @ 4000 RPM,92 @ 6300 RPM,1339,Ford,Focus,Ambiente,-31.78773,115.82755
2021,2021 Kia Carnival S KA4 MY22,58934,45990,Automatic,Wagon,Front Wheel Drive,Diesel,6.5,White,KNANB81BMM6056655,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",8,4,2151,4,72,16,440 @ 1750 RPM,148 @ 3800 RPM,2134,Kia,Carnival,S,-31.796743,115.815802
2012,2012 Toyota Yaris YRS NCP131R,148865,16990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.3,Blue,JTDKT3D310D539905,Galleria Toyota,"70-84 Collier Road, Morley, WA",5,5,1497,4,42,16,141 @ 4200 RPM,80 @ 6000 RPM,1055,Toyota,Yaris,YRS,-31.900748,115.903642
2016,2016 Honda HR-V VTI-S MY16,78023,22999,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,6.9,Grey,MRHRU5850GP061411,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",5,4,1799,4,50,16,172 @ 4300 RPM,105 @ 6500 RPM,1328,Honda,HR-V,VTI-S,-31.79166,115.81549
2012,2012 Holden Commodore SV6 VE II MY12,183811,14990,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,9.5,Black,6G1EK5E38CL626989,BUCKINGHAM DRIVE AUTOS,"24 Buckingham Drive, Wangara, WA",5,4,3565,6,73,24,350 @ 2900 RPM,210 @ 6400 RPM,1684,Holden,Commodore,SV6,-31.78741,115.81759
2018,2018 Mazda CX-3 Maxx (fwd) DK MY17.5,78211,24996,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,6.1,White,MM0DK2W7A0W224788,easyauto123 (Cannington),"1261 Albany Highway, Cannington, WA",5,4,1998,4,48,16,192 @ 2800 RPM,109 @ 6000 RPM,1226,Mazda,CX-3,Maxx (fwd),-32.012637,115.926416
2017,2017 Toyota Kluger GX (4X4) GSU55R MY17,155636,29990,Automatic,Suv,All Wheel Drive,Unleaded Petrol,9.5,White,5TDBZ3FH20S441283,Scarboro Toyota,"297 Scarborough Beach Road, Osborne Park, WA",7,4,3456,6,72,24,350 @ 4700 RPM,218 @ 6200 RPM,2005,Toyota,Kluger,GX (4X4),-31.91454,115.824791
2023,2023 Nissan X-Trail ST-L (4WD) 7 Seat T33 MY23,2555,49888,Continuous Variable,Suv,4x4,Unleaded Petrol,7.8,White,JN1T33JE0A0000908,Total Nissan used,"1251 Albany Highway, Cannington, WA",7,4,2488,4,55,16,244 @ 3600 RPM,135 @ 6000 RPM,1666,Nissan,X-Trail,ST-L (4WD) 7 Seat,-32.011251,115.925422
2010,2010 Toyota Kluger Grande (fwd) GSU40R,165641,21888,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,11.6,Black,JTEDS42A602108194,City Toyota Perth,"220 Newcastle Street, Northbridge, WA",7,4,3456,6,72,24,337 @ 4700 RPM,201 @ 6200 RPM,1935,Toyota,Kluger,Grande (fwd),-31.9432313,115.8544195
2018,2018 Kia Picanto GT-Line JA MY19 (jun 18 Build),69835,18499,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,5.8,White,KNAB3512MKT344754,Town of Cars,"4 Christian Court, Bayswater, WA",5,5,1248,4,35,16,122 @ 4000 RPM,62 @ 6000 RPM,995,Kia,Picanto,GT-Line,-31.90887,115.91621
2013,2013 Honda CR-V VTI (4X2) 30 MY14,147307,17990,Automatic,Suv,Rear Wheel Drive,Unleaded Petrol,7.7,Grey,MRHRM1850EP041568,Zai Motors,"1042 Albany Highway, Saint James, WA",5,4,1997,4,58,16,190 @ 4300 RPM,114 @ 6500 RPM,1488,Honda,CR-V,VTI (4X2),-31.996515,115.914741
2020,2020 Hyundai Santa FE Active Crdi (awd) Tm.v3 MY21,179193,27750,Other,Suv,All Wheel Drive,Diesel,6.1,Silver,KMHS281CSLU316655,Webb Auto Sales,"76 Division Street, Welshpool, WA",7,4,2151,4,67,16,440 @ 1750 RPM,148 @ 3800 RPM,1820,Hyundai,Santa FE,Active Crdi (awd),-31.987188,115.935923
2020,2020 Holden Commodore RS ZB MY19.5,71575,24980,Automatic,Hatch,All Wheel Drive,Unleaded Petrol,8.9,White,W0VZS6ED0L1017403,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,3649,6,61,24,381 @ 5200 RPM,235 @ 6800 RPM,1672,Holden,Commodore,RS,-31.987188,115.935923
2020,2020 Honda Jazz VTI GK MY21,39820,21999,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol,5.8,Other,MRHGK5850MT020783,Town of Cars,"4 Christian Court, Bayswater, WA",5,5,1497,4,40,16,145 @ 4800 RPM,88 @ 6600 RPM,1095,Honda,Jazz,VTI,-31.90887,115.91621
2012,2012 Holden Barina Classic TK MY11,80429,10990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.6,White,KL3TA48E9CB171452,Kingmaster Auto,"14A Buckingham Drive, Wangara, WA",5,5,1598,4,45,16,145 @ 3000 RPM,77 @ 6000 RPM,1100,Holden,Barina,Classic,-31.78771,115.81496
2020,2020 Toyota Camry SL (hybrid) Axvh71R,25508,39490,Continuous Variable,Sedan,Front Wheel Drive,Premium Unleaded/Electric,4.5,Silver,JTNB23HK903081732,Wangara Volkswagen used,"6 Berriman Drive, Wangara, WA",5,4,2494,4,50,16,231 @ 4100 RPM,133 @ 5700 RPM,1580,Toyota,Camry,SL (hybrid),-31.792453,115.814148
2020,2020 Mitsubishi ASX ES (2WD) XD MY21,59931,25290,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,7.6,Blue,JMFXTGA2WMU004049,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",5,4,1999,4,63,16,197 @ 4200 RPM,110 @ 6000 RPM,1380,Mitsubishi,ASX,ES (2WD),-31.906315,115.932176
2019,2019 LDV G10 Executive (7 Seat) SV7A,73255,28999,Automatic,Wagon,Rear Wheel Drive,Unleaded Petrol,11.7,White,LSKG4AL12KA075710,John Hughes Used Cars Wangara,"8/10 Prindiville Drive, Wangara, WA",7,4,1995,4,75,16,330 @ - RPM,160 @ 5500 RPM,2057,LDV,G10,Executive (7 Seat),-31.79166,115.81549
2017,2017 Audi Q7 3.0 TDI Quattro 4M MY17,118964,49998,Other,Suv,All Wheel Drive,Diesel,5.9,Blue,WAUZZZ4M3JD003044,Gardner Passenger,"1324 Albany Highway, Cannington, WA",7,4,2967,6,100,24,600 @ 1500 RPM,200 @ 3250 RPM,2060,Audi,Q7,3.0 TDI Quattro,-32.0166894,115.9322155
2023,2023 Toyota Corolla ZR Hybrid ZWE219R,78,51988,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol/Electric,4.0,Other,JTNKE3BE403507580,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,5,1798,4,43,16,142 @ 3600 RPM,72 @ 6000 RPM,1370,Toyota,Corolla,ZR Hybrid,-31.99962,115.9236
2019,2019 Kia Cerato GT Safety Pack BD MY20,71181,28999,Other,Hatch,Front Wheel Drive,Unleaded Petrol,6.8,Grey,KNAF4517VL5060184,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,5,1591,4,50,16,265 @ 1500 RPM,150 @ 6000 RPM,1395,Kia,Cerato,GT Safety Pack,-31.995227,115.938215
2020,2020 Mitsubishi Outlander ES 7 Seat (2WD) ZL MY21,41571,30290,Other,Suv,Front Wheel Drive,Unleaded Petrol,7.2,White,JMFXTGF8WLZ011974,AUS Vehicle Sales - Bassendean,"324 Collier Road, Bassendean, WA",7,4,2360,4,63,16,220 @ 4200 RPM,124 @ 6000 RPM,1515,Mitsubishi,Outlander,ES 7 Seat (2WD),-31.906315,115.932176
2010,2010 Mazda 6 Classic GH MY09,92214,15990,Other,Wagon,Front Wheel Drive,Unleaded Petrol,8.9,Other,JM0GH105200210196,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",5,4,2488,4,64,16,226 @ 4000 RPM,125 @ 6000 RPM,1507,Mazda,6,Classic,-31.796743,115.815802
2020,2020 LDV T60 Luxe (4X4) SK8C,34283,28990,Manual,Ute tray,4x4,Diesel,9.6,Grey,LSFAM11AXKA096862,Paceway Mitsubishi used,"384 Scarborough Beach Road, Osborne Park, WA",5,4,2776,4,75,16,360 @ 1600 RPM,110 @ 3400 RPM,1995,LDV,T60,Luxe (4X4),-31.91151,115.81708
2015,2015 Ford Falcon XR6 FG X,361227,14998,Other,Ute tray,Rear Wheel Drive,Unleaded Petrol,10.7,White,6FPAAAJGCMFL82808,Gardner Passenger,"1324 Albany Highway, Cannington, WA",2,2,3984,6,81,24,391 @ 3250 RPM,195 @ 6000 RPM,1740,Ford,Falcon,XR6,-32.0166894,115.9322155
2012,2012 Toyota Yaris YR NCP130R,73085,13988,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,5.7,Red,JTDKW3D310D512114,Regent,"4 Hocking Road, KINGSLEY, WA",5,5,1299,4,42,16,121 @ 4400 RPM,63 @ 6000 RPM,1035,Toyota,Yaris,YR,-31.80094,115.81669
