Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Maximum torque,Maximum power (kW),Kerb weight,Make,Model,Variant,lat,lon
2012,2012 Hyundai IX35 Active (fwd) LM MY11,174531,11999,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,8.5,Blue,KMHJT81BMCU418997,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,4,1998,4,55,16,197 @ 4600 RPM,122 @ 6200 RPM,1485,Hyundai,IX35,Active (fwd),-31.797369,115.818506
2008,2008 Mazda 6 Classic GH,183000,10990,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,8.9,Red,JM0GH105100113483,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,5,2488,4,64,16,226 @ 4000 RPM,125 @ 6000 RPM,1478,Mazda,6,Classic,-31.79241,115.82027
2012,2012 Hyundai I30 CW SX 2.0 FD MY12,106349,12990,Automatic,Wagon,Front Wheel Drive,Unleaded Petrol,7.7,Black,KMHDB81EMCU148675,Platinum Automotive Sales,"198 Collier Rd, Bayswater, WA",5,4,1975,4,53,16,186 @ 4500 RPM,105 @ 6000 RPM,1390,Hyundai,I30,CW SX 2.0,-31.904689,115.917071
2010,2010 Mazda 3 NEO BL,211678,7999,Manual,Sedan,Front Wheel Drive,Unleaded Petrol,7.9,Grey,JM0BL10F100152359,MT Lawley Motors P/L,"391 Guildford Road, Bayswater, WA",5,4,1999,4,55,16,182 @ 4500 RPM,108 @ 6500 RPM,1290,Mazda,3,NEO,-31.92562,115.90992
2020,2020 Toyota Hilux SR (4X4) GUN126R Facelift,164402,41990,Manual,Ute tray,4x4,Diesel,7.4,White,MR0KA3CD801241418,Big Rock Toyota used,"445 Wanneroo Road, Balcatta, WA",5,4,2753,4,80,16,420 @ 1400 RPM,150 @ 3000 RPM,2055,Toyota,Hilux,SR (4X4),-31.86697,115.82846
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,31642,22750,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU062190,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175 @ 2000 RPM,70 @ 5000 RPM,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,34875,22750,Other,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU083280,Webb Auto Sales,"76 Division Street, Welshpool, WA",5,5,999,3,40,12,175 @ 2000 RPM,70 @ 5000 RPM,1104,Volkswagen,Polo,70TSI Trendline,-31.987188,115.935923
2022,2022 Ford Ranger XL 2.0 (4X4) PY MY22,9368,52990,Automatic,Ute tray,4x4,Diesel,7.6,White,MPBCMFF60NX410854,Lynford used,"300 Scarborough Beach Road, Osborne Park, WA",5,4,1996,4,80,16,500 @ 1750 RPM,154 @ 3750 RPM,2227,Ford,Ranger,XL 2.0 (4X4),-31.913327,115.824971
2009,2009 Dodge Nitro SX KA MY08,118987,10990,Automatic,Suv,4x4,Unleaded Petrol,12.1,Other,1D8G928K89W555960,MT Lawley Motors P/L,"391 Guildford Road, Bayswater, WA",5,4,3700,6,73,12,314 @ 4000 RPM,151 @ 5200 RPM,1875,Dodge,Nitro,SX,-31.92562,115.90992
2010,2010 Hyundai I45 Active YF,202258,9999,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.9,Grey,KMHEC41DMCA303871,The Car Guys,"1143 Albany Highway, Bentley, WA",5,4,2359,4,70,16,250 @ 4250 RPM,148 @ 6300 RPM,1529,Hyundai,I45,Active,-32.00236,115.91905
2021,2021 Toyota Landcruiser Prado GXL Flat Tailgate GDJ150R,21619,79990,Automatic,Suv,4x4,Diesel,7.9,Grey,JTEBR3FJ70K207873,Big Rock Toyota used,"445 Wanneroo Road, Balcatta, WA",7,4,2755,4,87,16,500 @ 1600 RPM,150 @ 3400 RPM,2265,Toyota,Landcruiser Prado,GXL Flat Tailgate,-31.86697,115.82846
2021,2021 Toyota Camry Ascent ASV70R,13820,32999,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.8,White,JTNBF3HKX03064278,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,2494,4,60,16,231 @ 4100 RPM,133 @ 6000 RPM,1490,Toyota,Camry,Ascent,-31.995227,115.938215
2019,2019 Hyundai I30 Active PD2 MY20,60970,23999,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Red,KMHH351EMKU105916,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,4,1999,4,50,16,203 @ 4700 RPM,120 @ 6200 RPM,1276,Hyundai,I30,Active,-31.995227,115.938215
2019,2019 Hyundai I30 Active PD2 MY20,79135,21998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,White,KMHH351EMLU130079,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203 @ 4700 RPM,120 @ 6200 RPM,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2022,2022 Suzuki Baleno GL Series II,24540,22998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,5.4,White,MBHEWB52S00845869,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1373,4,37,16,130 @ 4000 RPM,68 @ 6000 RPM,915,Suzuki,Baleno,GL,-32.0166894,115.9322155
2010,2010 Audi A3 1.6 Attraction 8P,102134,12990,Manual,Other,Front Wheel Drive,Premium Unleaded Petrol,7.0,White,TRUZZZ8P7B1010014,Motoroo,"1787 Albany Highway, Kenwick, WA",4,2,1595,4,55,8,148 @ 3800 RPM,75 @ 5600 RPM,1330,Audi,A3,1.6 Attraction,-32.04529,115.97387
2019,2019 Hyundai I30 Active PD2 MY20,75958,22998,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,7.4,Silver,KMHH351EMLU121603,Gardner Passenger,"1324 Albany Highway, Cannington, WA",5,4,1999,4,50,16,203 @ 4700 RPM,120 @ 6200 RPM,1276,Hyundai,I30,Active,-32.0166894,115.9322155
2011,2011 Hyundai IX35 Active (fwd) LM MY11,131922,13990,Automatic,Suv,Front Wheel Drive,Unleaded Petrol,8.5,Silver,KMHJT81BMAU147797,BUCKINGHAM DRIVE AUTOS,"24 Buckingham Drive, Wangara, WA",5,4,1998,4,55,16,197 @ 4600 RPM,122 @ 6200 RPM,1485,Hyundai,IX35,Active (fwd),-31.78741,115.81759
2022,2022 Toyota Landcruiser Prado GX GDJ150R,10665,81988,Automatic,Suv,4x4,Diesel,7.9,White,JTEBR3FJ10K241467,Westside Auto Wholesale,"42 Ewing Street, Bentley, WA",5,4,2755,4,150,16,500 @ 1600 RPM,150 @ 3400 RPM,2240,Toyota,Landcruiser Prado,GX,-31.99962,115.9236
2012,2012 Toyota Yaris YR NCP130R,105217,10990,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,5.7,White,JTDKW3D390D515942,Prindiville Car Sales,"1/38 Prindiville Drive, Wangara, WA",5,5,1299,4,42,16,121 @ 4400 RPM,63 @ 6000 RPM,1035,Toyota,Yaris,YR,-31.79155,115.82158
2021,2021 Toyota Yaris SX Mxpa10R,25739,28999,Continuous Variable,Hatch,Front Wheel Drive,Unleaded Petrol,4.9,Red,JTDKAAA3501002888,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",5,5,1490,3,40,16,145 @ 3800 RPM,88 @ 6600 RPM,1025,Toyota,Yaris,SX,-31.995227,115.938215
